publishedAt,title,artist,rating,genres
2013-05-04T13:21:08Z,Legends Never Die,R.A. The Rugged Man,6,east coast hip hop;hardcore hip hop
2013-05-07T11:07:51Z,Acid Rap,Chance The Rapper,6,pop rap;jazz rap;juke
2013-05-07T15:54:56Z,Teethed Glory and Injury,Altar of Plagues,9,
2013-05-08T16:53:02Z,Lung,Little Women,6,avant-garde jazz;noise rock;math rock
2013-05-09T14:30:09Z,Bankrupt!,Phoenix,5,indie pop;synth pop;indie rock;new wave
2013-05-10T22:19:14Z,Hokey Fright,The Uncluded,7,abstract hip hop;anti-folk;folk hop;experimental hip hop;singer-songwriter hip hop fusion magic
2013-05-13T14:14:32Z,True Romance,Charli XCX,3,electropop;synth pop;dance pop
2013-05-14T12:12:20Z,Moody Coup,Co La,6,plunderphonics;wonky techno;glitch;vaporwave;disorienting samples
2013-05-14T18:03:48Z,Modern Vampires of the City,Vampire Weekend,7,indie rock;indie pop;baroque pop;chamber pop
2013-05-16T14:57:44Z,One Of Us Is The Killer,The Dillinger Escape Plan,8,mathcore;metalcore;spazzcore;post-hardcore;riff mania;alternative metal
2013-05-20T19:28:17Z,Random Access Memories,Daft Punk,8,disco;synth funk;smooth funk;aor;soft rock;progressive synth;electro-disco
2013-05-21T16:51:49Z,Trouble Will Find Me,The National,4,chamber pop;indie rock
2013-05-22T15:44:44Z,Endless Fantasy,Anamanaguchi,6,chiptune;power pop;house;electropop
2013-05-23T16:19:29Z,Howl,This Routine Is Hell,8,punk rock;hardcore punk;sludge punk
2013-05-24T15:32:05Z,Hanging Gardens,Classixx,6,house;synth pop;synth funk
2013-05-28T00:49:35Z,Owl Pharaoh,Travis Scott,3,trap rap;pop rap;southern hip hop
2013-05-28T18:32:06Z,"Whenever, If Ever",The World Is A Beautiful Place And I Am No Longer Afraid To Die,7,emo;midwest emo;indie rock
2013-05-29T18:56:50Z,Obsidian,Baths,6,glitch pop;chamber pop;synth pop;indie electronic
2013-05-30T15:19:17Z,Yessir Whatever,Quasimoto,7,abstract hip hop;boom bap;jazz rap;psych rap
2013-05-31T12:34:39Z,Silver Wilkinson,Bibio,7,folktronica;glitch pop;dream pop;dream folk;instrumental hip hop
2013-05-31T19:50:13Z,Sunbather,Deafheaven,8,atmospheric black metal;post-rock;blackgaze;ambient;screamo
2013-06-04T17:24:17Z,...Like Clockwork,Queens of the Stone Age,9,alternative rock;stoner rock
2013-06-05T14:56:57Z,KRAK ATTACK 2: THE BALLAD OF ELLI SKIFF,CX KiDTRONiK,6,experimental hip hop;industrial hip hop;digital hardcore;drum machine metal that rips your face off
2013-06-05T22:26:45Z,Settle,Disclosure,7,uk garage;future garage;house;deep house
2013-06-07T12:09:08Z,Once I Was An Eagle,Laura Marling,7,singer-songwriter;contemporary folk
2013-06-10T15:28:49Z,Apocalypse,Thundercat,3,jazz fusion;nu jazz;jazz-funk;contemporary r&b
2013-06-12T15:55:33Z,Tomorrow's Harvest,Boards of Canada,6,ambient;idm;progressive synth;progressive electronic;downtempo;ambient techno
2013-06-13T17:33:23Z,Tape Two,Young Fathers,8,experimental hip hop;abstract hip hop;african hip hop lo-fi noise fusion;post-hip hop;avant-neo-soul
2013-06-15T16:53:57Z,Kismet,Mr. Muthafuckin' eXquire,7,hardcore hip hop;east coast hip hop;boom bap
2013-06-17T16:06:53Z,Immunity,Jon Hopkins,8,tech house;techno;micro house;ambient;glitchy dance magic;lofty post-house
2013-06-18T19:06:16Z,Yeezus,Kanye West,5,experimental hip hop;industrial hip hop;hardcore hip hop;auto-tuned noise hop. house hop
2013-06-19T15:32:52Z,Self-Titled,Melt Yourself Down,7,alternative funk jazz fusion;afrobeat;art punk;jazzrock;mediterranean horn punk
2013-06-21T15:05:40Z,With Love,Zomby,5,uk bass;trap;future garage;nocturnal breaks;moody electronica atmospheres
2013-06-23T03:41:52Z,Watching Movies With the Sound Off,Mac Miller,6,cloud rap;pop rap;hip hop;swag rapsz;mac miller-core;texture beatz
2013-06-25T16:43:35Z,Born Sinner,J. Cole,5,pop rap;hardcore hip hop;conscious hip hop
2013-06-28T11:57:50Z,Return to Annihilation,Locrian,6,black metal;noise;experimental rock;drone;dark ambient;post-rock
2013-07-03T16:15:51Z,Summer Knights,Joey Bada$$,7,east coast hip hop;hardcore hip hop;beast coast magic;jazz rap
2013-07-08T15:22:42Z,Self-Titled,Run The Jewels,8,hardcore hip hop;abstract hip hop
2013-07-08T20:44:35Z,Dour Candy,Billy Woods,7,hardcore hip hop;abstract hip hop;grimy storytelling;blockhead instrumental magic;d.c. anonymity
2013-07-09T21:30:08Z,Magna Carta... Holy Grail,Jay-Z,6,east coast hip hop;pop rap;trap rap
2013-07-10T18:48:26Z,The Inheritors,James Holden,7,techno;microhouse;electroacoustic;ambient;progressive synth;idm
2013-07-11T16:50:04Z,The Headless Ritual,Autopsy,6,death metal;death doom metal;death and heavy metal fusions
2013-07-15T16:04:05Z,Blood Donation,Mariam The Believer,8,art pop;soul;experimental rock;singer-songwriter
2013-07-18T01:46:05Z,Tempest,Lycus,7,funeral doom metal;doom metal;death metal growl magic;heavy as hell power ballad melodies
2013-07-18T23:35:54Z,The Blackest Beautiful,letlive.,5,post-hardcore and pop punk hybrid magic
2013-07-24T18:24:10Z,Scratch N' Sniff (MINI),Stone Titan,8,sludge metal;noise metal;extreme sludge magic;heavy psych;deadly sounds
2013-07-25T20:34:48Z,Slow Focus,Fuck Buttons,6,electronic neo-psych;drone;experimental indie techno
2013-07-29T15:44:20Z,Self-Titled,Edward Sharpe & The Magnetic Zeros,3,indie folk;indie pop;americana;vintage psychedelic pop
2013-07-31T17:59:23Z,The Night's Gambit,Ka,8,east coast hip hop;minimal hip hop;hardcore hip hop;super quiet raps
2013-08-02T14:21:28Z,Body Music,AlunaGeorge,7,dance-pop;contemporary r&b;pop;electropop;uk bass;future garage
2013-08-06T16:33:36Z,Ceres & Calypso In The Deep Time,Candy Claws,7,dream pop;shoegaze;lo-fi;indie pop
2013-08-07T18:14:21Z,The Blind Hole,Dead In The Dirt,6,hardcore punk;powerviolence;sludge metal;crust punk;grindcore
2013-08-08T21:54:39Z,Something Else,Tech N9ne,4,hardcore hip hop;pop rap;rap metal
2013-08-12T16:48:49Z,Fever Hunting,Modern Life Is War,7,hardcore punk;melodic hardcore
2013-08-13T15:18:31Z,Endless Night,TOAD,7,black metal;sludge metal;heavy metal;death 'n' roll
2013-08-15T22:12:17Z,Paracosm,Washed Out,6,dream pop;neo-psychedelia;chillwave;synth pop;dream reggae
2013-08-17T21:10:41Z,An Object,No Age,6,art punk;noise rock;post-punk;lo-fi rock
2013-08-26T12:48:25Z,Doris,Earl Sweatshirt,6,alternative hip hop;abstract hip hop (sorta);trapped & screwed bap jazz rap amalgamation;whisper raps
2013-08-26T23:05:37Z,Loud City Song,Julia Holter,8,dream pop;art pop;chamber pop;progressive pop;experimental pop;dream jazz
2013-08-28T15:18:09Z,Trap Lord,A$AP Ferg,7,trap rap;southern hip hop;memphis raps;cloud rap;post-bone thugs;swag raps
2013-08-29T17:33:20Z,6 Feet Beneath The Moon,King Krule,7,indie rock;indie pop;dream pop;reverb rock;vintage retro trip hop;slick singer-songwriter dude
2013-08-30T13:43:21Z,Dysnomia,Dawn of Midi,5,minimalist groove jazz;electroacoustic repetition voodoo
2013-09-01T19:53:31Z,The Lords of Flatbush,The Underachievers,5,hardcore hip hop;new york hip hop;trap music;hard-as-nails cloud rap that doesn't screw around
2013-09-03T01:21:38Z,Colored Sands,Gorguts,8,technical death metal;progressive death metal;atmospheric sludge metal;avant-garde metal
2013-09-03T23:23:51Z,GNK,YC The Cynic,8,east coast hip hop;cloud rap;conscious hip hop;abstract hip hop;thoughtful raps;psych raps;heady wordplay magic
2013-09-04T14:42:41Z,Law & Order,Jonathan Rado,4,psychedelic pop;garage rock;synth pop;brit pop;mod rock;lo-fi rock 'n' roll
2013-09-05T05:21:56Z,Forever,Holograms,6,post-punk;synth punk
2013-09-05T17:27:37Z,The Golden Age,Dizzy Wright,5,pop rap;trap rap;jazz rap
2013-09-08T23:56:16Z,AM,Arctic Monkeys,3,indie rock;alternative rock
2013-09-09T12:59:21Z,Hesitation Marks,Nine Inch Nails,6,electro-industrial;industrial rock
2013-09-10T14:42:32Z,Pain Is Beauty,Chelsea Wolfe,8,
2013-09-11T19:34:54Z,Dynamics,Holy Ghost!,7,electro-disco;new wave;nu-disco;synch pop
2013-09-12T14:19:17Z,Self-Titled,Factory Floor,6,minimal wave;synth punk;post-punk;electronic;electro-industrial dance party;dancefloor strangeness
2013-09-13T15:39:48Z,The Electric Lady,Janelle Monáe,7,contemporary r&b;art pop;baroque pop;pop soul;neo-soul;smooth soul
2013-09-16T14:34:37Z,Nostalgic 64,Denzel Curry,7,memphis rap;southern hip hop;trap rap;hardcore hip hop;horrorcore (slightly)
2013-09-17T14:04:05Z,Kiss Land,The Weeknd,5,contemporary r&b;moody and depressing r&b
2013-09-18T15:54:10Z,Nature Noir,Crystal Stilts,6,psychedelic rock;garage rock;dark rock 'n' roll;deadpan
2013-09-19T14:44:17Z,Self-Titled,MGMT,6,psychedelic pop;neo-psychedelia;fuzzyness
2013-09-20T15:37:35Z,Hubardo,Kayo Dot,7,avant-garde metal;progressive rock;progressive metal;jazz fusion;chamber music;death metal;post-rock;black metal;slightly improvised nightmares;epic poet stories
2013-09-23T15:24:14Z,Vapor City,Machinedrum,7,footwork;juke;uk bass;future garage
2013-09-23T20:39:45Z,BetterOffDEAD,Flatbush Zombies,8,hardcore hip hop;trap rap;cloud rap;psychedelic rap magic;grimy new york shiz
2013-09-24T19:55:06Z,Dream River,Bill Callahan,8,americana;folk rock;progressive folk;indie folk
2013-09-26T00:50:55Z,Nothing Was The Same,Drake,5,pop rap;contemporary r&b;emotional rhyme time
2013-09-27T04:55:34Z,Is Survived By,Touché Amoré,8,screamo;post-hardcore
2013-10-01T14:40:47Z,R Plus Seven,Oneohtrix Point Never,6,progressive synth;post-new age;plunderphonics;ambient;vaporwave
2013-10-02T04:27:49Z,Old,Danny Brown,7,hardcore hip hop;eccentric electro trap rap;psychedelic raps
2013-10-05T05:25:07Z,Watcher,Haunted Horses,7,noise rock;industrial rock;post-punk;satanic-space-jams
2013-10-07T13:59:50Z,Psychic,Darkside,8,microhouse;neo-psychedelia;subtle electronic rock magic
2013-10-08T14:12:17Z,Lousy With Sylvianbriar,of Montreal,8,psych pop;indie folk;folk rock;indie pop
2013-10-09T16:38:37Z,My Name Is My Name,Pusha T,6,gangsta rap;hardcore hip hop;pop rap;industrial hip hop;southern hip hop;future trap
2013-10-12T16:08:00Z,Fetch,Melt-Banana,9,noise rock;noise core;hardcore punk;noise pop
2013-10-14T18:13:55Z,Valonielu,Oranssi Pazuzu,6,black metal;psychedelic rock;heavy psych;blackened psych
2013-10-16T15:06:34Z,Virgins,Tim Hecker,9,ambient;drone;noise;post-modern classical;minimal piano magic;trippy ensemble
2013-10-22T03:23:35Z,Static,Cults,4,indie pop;twee pop;vintage nostalgia sugar magic
2013-10-23T00:57:15Z,Race Music,Armand Hammer,8,hardcore hip hop;east coast hip hop;grimy raps with dirty synthetic beats from hell topped with dark rhymes
2013-10-24T00:51:37Z,Flying Colours,Shad,7,pop rap;alternative hip hop;conscious hip hop;smart rapper from canada with a lot of clever stuff to say;sweet beats
2013-10-24T22:56:15Z,Burials,AFI,2,alternative rock;pop punk;soft punk;reverb addiction
2013-10-28T14:05:35Z,Chemistry of Consciousness,Toxic Holocaust,6,thrash metal;crust punk;hardcore punk;d-beat;crossover thrash
2013-10-28T21:14:53Z,Melophobia,Cage The Elephant,8,garage rock;blues rock;alternative rock;lo-fi refinement;filthy hooky goodness
2013-10-31T15:03:05Z,Reflektor,Arcade Fire,5,
2013-11-04T20:16:09Z,Blood Tears,Sisu,6,synth pop;post-punk
2013-11-05T23:29:28Z,Beautiful Rewind,Four Tet,7,tech house;minimal techno;two-step;colorful hardgrooves
2013-11-07T21:35:42Z,No Poison No Paradise,Black Milk,8,
2013-11-11T22:11:25Z,The Marshall Mathers LP 2,Eminem,7,
2013-11-12T21:24:28Z,Big Machines and Peculiar Beings,The Debauchees,7,indie rock;post-punk;noise rock
2013-11-13T17:14:45Z,Blue Chips 2,Action Bronson & Party Supplies,6,hardcore hip hop;east coast hip hop
2013-11-14T15:38:19Z,"Portals To A Better, Dead World",Cara Neir,7,
2013-11-15T19:16:26Z,Artpop,Lady Gaga,6,
2013-11-18T14:49:41Z,Government Plates,Death Grips,6,
2013-11-19T15:00:10Z,Drone Logic,Daniel Avery,3,somewhat drone-y techno;tech house
2013-11-20T15:57:39Z,Matangi,M.I.A.,7,worldbeat;experimental hip hop;international bangers for truth and dance
2013-11-21T21:44:57Z,Julia With Blue Jeans On,Moonface,7,singer-songwriter;modern classical;personal piano tunes of tragedy and romance
2013-11-22T19:28:06Z,Parasite Brain,Soupcans,7,garage punk;noise rock;post-hardcore;hardcore punk
2013-11-24T16:52:36Z,"Night Time, My Time",Sky Ferreira,4,synth pop;noise pop;alternative dance
2013-11-25T15:56:21Z,Cupid Deluxe,Blood Orange,2,contemporary r&b;synth funk;synth pop;80s nostalgia
2013-11-26T17:35:58Z,Ghost At The Finish Line,Quelle Chris,7,abstract hip hop;personal raps;silly bars
2013-11-28T05:16:10Z,Self-Titled,Sadsic,3,wonky;experimental instrumental hip hop;wonky;psych electronics;sampledelic
2013-12-02T20:48:18Z,6ix Commandments,Da Mafia 6ix,8,southern hip hop;horrorcore;memphis rap;classic dirty mystic stylezzz magic
2013-12-03T15:48:41Z,Knock Madness,Hopsin,3,hardcore hip hop;pop rap
2013-12-05T15:39:17Z,Self-Titled,Arabrot,6,sludge metal;noise rock
2013-12-09T15:06:12Z,Aleph,Gesaffelstein,5,tech house;techno;assembly line terrors
2013-12-10T15:02:48Z,Because The Internet,Childish Gambino,5,pop rap;bachelor's degree in english trap raps;contemporary r&b
2013-12-11T17:46:45Z,How To Stop Your Brain In An Accident,Future Of The Left,8,post-hardcore;indie rock;noise rock;wordy rock
2013-12-16T15:38:52Z,Rival Dealer,Burial,5,overly atmospheric synth pop;drum 'n' bass;breakbeat;lo-fi auto-tune ballads
2014-01-09T04:20:26Z,Self-Titled,Beyoncé,6,pop;contemporary r&b;synth funk;neo-soul
2014-01-10T01:14:37Z,Forceps,Calvaiire,7,hardcore punk;mathcore
2014-01-13T13:53:14Z,Nina,Xiu Xiu,8,avant-garde jazz;theatrical whispers;creepy covers;art freak
2014-01-14T21:17:08Z,Alternate/Endings,Lee Bannon,3,jungle;drum and bass;breakbeat
2014-01-16T02:55:06Z,Spaces,Nils Frahm,7,modern classical;minimalism;post-classical
2014-01-17T04:56:41Z,Self-Titled,Murmur,8,black metal;progressive rock;prog folk
2014-01-20T21:39:50Z,Fuck Off Get Free We Pour Light On Everything,Silver Mount Zion,8,"psychedelic sludge or doom with string arrangements and dismal lyrics;experimental rock;""post-rock,"" art rock"
2014-01-21T23:12:09Z,Transgender Dysphoria Blues,Against Me!,5,punk rock;singer-songwriter
2014-01-23T01:27:36Z,Rave Tapes,Mogwai,6,post-rock;progressive synth;progressive rock;instrumental rock with electronic fusion magic
2014-01-24T03:17:24Z,From All Purity,Indian,8,sludge metal;doom metal;noise metal harshness from hell
2014-01-27T23:47:45Z,Try Not To Destroy Everything You Love,An Autumn For Crippled Children,7,black metal;shoegaze;blackgaze;post-rock;blackened post-punk
2014-01-28T22:38:05Z,The Unnatural World,Have A Nice Life,8,post-punk;drone;noise rock;shoegaze;lo-fi indie
2014-01-29T22:48:35Z,Ghettoville,Actress,8,idm;micro house;minimal techno;vaporwave;experimental electronics;sonic spelunking
2014-01-31T02:58:57Z,Dead,Young Fathers,6,experimental hip hop;uk hip hop;abstract hip hop;lo-fi soul mixed with african rhythms
2014-02-12T06:28:32Z,The Satanist,Behemoth,9,nuclear blast
2014-02-14T04:52:39Z,Lord Steppington,Step Brothers,8,hardcore hip hop
2014-02-17T17:38:33Z,Love Death Immortality,Glitch Mob,3,dubstep;electro;dance-pop
2014-02-18T16:38:02Z,Angel Guts: Red Classroom,Xiu Xiu,7,post-punk;experimental rock;art punk;synth punk
2014-02-19T19:03:48Z,Burn Your Fire For No Witness,Angel Olsen,5,folk rock;garage rock;singer-songwriter;folk
2014-02-20T16:34:35Z,Benji,Sun Kil Moon,9,folk;folk rock;americana;singer-songwriter
2014-02-23T17:15:59Z,Labyrinth Constellation,Artificial Brain,8,technical death metal
2014-02-25T13:56:21Z,Sun Structures,Temples,5,neo-psychedelia;psych pop;psych rock
2014-02-25T14:04:43Z,Terrestrials,Sunn O))) & Ulver,6,drone metal;doom metal;dark jazz
2014-02-27T00:25:45Z,Oxymoron,Schoolboy Q,7,pop rap;trap rap;boom bap;cloud rap;yawk yawk yawk yawk
2014-02-27T20:55:00Z,Self-Titled,St. Vincent,7,noise pop;indie pop;indie rock
2014-03-03T14:58:28Z,Morning Phase,Beck,4,singer-songwriter;folky slowness
2014-03-10T21:08:49Z,Totem,White Suns,8,
2014-03-11T13:21:46Z,Atlas,Real Estate,3,jangel pop;indie rock
2014-03-12T13:09:32Z,No Label II,Migos,5,trap rap;southern hip hop;pop rap
2014-03-19T19:04:44Z,G I R L,Pharrell,3,pop soul;pop;r&b;dance-pop;funk
2014-03-20T20:58:35Z,The Rooms of the House,La Dispute,7,post-hardcore;emo;screamo
2014-03-22T18:23:05Z,Piñata,Freddie Gibbs & Madlib,9,"gangsta rap;jazz rap;trippy ""g"" magic"
2014-03-24T01:19:47Z,Awake,Tycho,6,downtempo;ambient pop;instrumental smooth rock;maybe post-rock at moments;electronic relaxation
2014-03-24T13:18:53Z,Waterfall,Evian Christ,7,instrumental hip hop;trap;ethereal bangers
2014-03-24T13:57:27Z,Lost In The Dream,The War On Drugs,7,krautrock;americana;folk rock;neo-psychedelia;singer-songwriter
2014-03-25T14:00:01Z,Singles,Future Islands,7,synth pop;indie pop
2014-03-25T14:37:46Z,Eighteen Hours of Static,Big Ups,8,noise rock;post-punk;post-hardcore;satirical hardcore
2014-03-26T13:58:08Z,Recess,Skrillex,5,"dubstep;moombahton;""brostep"""
2014-03-26T14:18:43Z,Mess,Liars,8,alternative dance;tech house;experimental electronic magic
2014-03-27T14:45:29Z,Present Tense,Wild Beasts,7,art pop;synth  pop
2014-03-27T15:11:29Z,Wakedafucup,Onyx,7,hardcore hip hop;east coast hip hop
2014-04-02T12:37:13Z,Jimmy The Burnout,Nocando,6,west coast hip hop;abstract hip hop;hellfyre hip hop
2014-04-02T12:41:56Z,Salad Days,Mac Demarco,5,jangle pop;psychedelic (sort of) pop;sleepy pop
2014-04-03T12:59:28Z,No Mythologies To Follow,Mø,6,electropop;synth pop;indietronica
2014-04-03T13:11:09Z,Baby,White Hinterland,8,art pop;singer-songwriter;emotional piano magic;eccentric progressive electropop magic
2014-04-04T17:03:23Z,Hot Dreams,Timber Timbre,8,americana;rock 'n' roll;zombie rockabilly;evil doo-wop;lynchian horror
2014-04-05T23:11:44Z,Dissed and Dismissed,Tony Molina,7,lo-fi;indie rock;power pop;breakup rock
2014-04-07T14:53:21Z,Wasted Years,OFF!,7,hardcore punk
2014-04-07T15:02:11Z,Enter The Slasher House,Avey Tare's Slasher Flicks,5,neo-psychedelia;psychedelic pop
2014-04-08T14:26:54Z,Here And Nowhere Else,Cloud Nothings,6,indie rock;post-hardcore;noise rock
2014-04-08T16:34:40Z,Self-Titled,Sisyphus,7,hip hop;pop rap;abstract hip hop;art pop;chamber pop;indie pop
2014-04-09T16:40:37Z,So It Goes,Ratking,8,experimental hip hop
2014-04-10T13:48:19Z,Z,SZA,4,contemporary r&b;art pop
2014-04-10T17:53:58Z,It's Album Time,Todd Terje,6,nu-disco;house;electrodisco;funky synth house magic;vintage dance jams
2014-04-11T23:19:01Z,Strange Journey Vol. 3,CunninLynguists,7,southern hip hop;rap
2014-04-14T21:00:30Z,Broken Ankles,Girl Talk & Freeway,8,pop rap;hardcore hip hop
2014-04-15T14:48:02Z,PRAYER FOR TERRENE,IDYLLS,8,metalcore;noisecore;grindcore;hardcore punk;experimental rock
2014-04-16T16:53:32Z,Welcome To Fazoland,Lil Herb,7,trap rap;drill;gangsta rap;hardcore hip hop
2014-04-17T18:12:02Z,Sacred White Noise,Thantifaxath,8,black metal;progressive rock
2014-04-21T14:10:54Z,Boy,Carla Bozulich,8,experimental rock;singer-songwriter;noise
2014-04-22T03:12:45Z,"Home, Like NoPlace Is There",The Hotelier,6,emo;midwest emo
2014-04-22T13:56:41Z,Built On Glass,Chet Faker,3,neo-soul;future soul;contemporary r&b;dance pop
2014-04-23T05:21:39Z,Enclosure,John Frusciante,2,experimental rock;synth pop;demo rock;lo-fi
2014-04-23T14:44:05Z,P.T.S.D.,Pharoahe Monch,7,hardcore hip hop;conscious hip hop;boom bap
2014-04-24T15:48:56Z,Indie Cindy,Pixies,4,indie rock;alternative rock;pop rock
2014-04-28T14:39:18Z,Death Mask,Lord Mantis,6,sludge metal;doom metal;noise metal;black metal
2014-04-30T02:12:10Z,Nikki Nack,tUnE-yArDs,8,art pop;indie pop;international sounds with a western freakishness
2014-04-30T15:03:00Z,Honest,Future,2,pop rap;trap rap;uh......r&b....sorta....
2014-05-01T16:19:07Z,More Than Any Other Day,Ought,7,post-punk;art punk;experimental rock
2014-05-02T18:57:25Z,Divide & Exit,Sleaford Mods,6,post-punk;shouted word
2014-05-05T21:55:48Z,III,BADBADNOTGOOD,7,jazz fusion;electronic jazz fusion magic;jazz rock;post-bop;jazzed up bangers
2014-05-07T14:14:26Z,Christmas Island,Andrew Jackson Jihad,5,folk punk;anti-folk;pop folk punk grimyness;emotional trainwreck music
2014-05-07T21:11:29Z,Everyday Robots,Damon Albarn,5,singer-songwriter;dreary and soft electronic pop tunes;downtempo;glitch pop;trip hop;choral pop;island music pop magic
2014-05-09T20:16:26Z,I Never Learn,Lykke Li,6,indie pop;chamber pop;singer-songwriter
2014-05-13T13:35:41Z,Faces,Mac Miller,6,cloud rap;trap rap;pop rap;jazz rap
2014-05-14T15:06:03Z,Turn Blue,The Black Keys,4,garage rock;blues rock;psychedelic rock;psych pop;soul
2014-05-15T15:18:08Z,Nabuma Rubberband,Little Dragon,6,electropop;art pop;synth pop;softpop;contemporary r&b
2014-05-16T15:05:50Z,Self-TItled,Ibibio Sound Machine,7,afrobeat;electro
2014-05-20T13:45:58Z,To Be Kind,Swans,10,experimental rock;drone;noise rock;post-rock;amazing shit.
2014-05-22T17:18:44Z,White Women,Chromeo,5,synth funk;pop;nu-disco;new wave;synth pop
2014-05-22T17:24:38Z,Splinters,Vallenfyre,7,death metal;death 'n' roll;death doom
2014-05-23T14:28:08Z,Ultima II Massage,Tobacco,8,wonky;indietronica;glitch;psychedelic warped noise magic
2014-05-23T23:01:46Z,...And Then You Shoot Your Cousin,The Roots,4,hardcore hip hop;conscious hip hop
2014-05-28T13:44:42Z,No Peace,Trash Talk,5,hardcore punk
2014-05-29T17:36:58Z,In Conflict,Owen Pallett,7,chamber pop;indie pop;baroque pop
2014-05-29T18:06:05Z,Are We There,Sharon Van Etten,6,singer-songwriter;indie folk
2014-05-30T16:39:11Z,Self-Titled,Eyehategod,6,sludge metal;hardcore punk;doom metal
2014-06-02T14:34:01Z,CLPPNG,clipping.,9,"experimental hip hop;abstract hip hop;industrial hip hop;spoken word;hardcore hip hip;glitchy gangsta rap or ""glitch-sta rap"""
2014-06-03T13:14:50Z,Ghost Stories,Coldplay,4,pop rock;dream pop;ambient pop;sterile pop rock
2014-06-04T15:21:19Z,NEON iCON,RiFF RAFF,5,trap rap;pop rap;comedy rap
2014-06-05T16:12:09Z,Sunbathing Animal,Parquet Courts,4,post-punk;indie rock;garage rock;punk rock
2014-06-05T23:12:36Z,Good To Be Home,Blu,6,jazz rap;west coast hip hop;g-funk
2014-06-06T18:27:59Z,A U R O R A,Ben Frost,5,electronic;noise;dark ambient;drone;experimental;industrial
2014-06-10T12:05:42Z,Blissfucker,Trap Them,5,crust punk;hardcore punk;heavy nihilistic sludge punk
2014-06-11T13:34:00Z,Lazaretto,Jack White,5,blues rock;country rock;garage rock
2014-06-12T16:56:51Z,Esoteric Warfare,Mayhem,7,black metal;avant-garde metal
2014-06-15T13:10:15Z,Garbage,Bones,6,cloud rap;trap rap;gothic hip hop;horrorcore
2014-06-16T18:54:46Z,Ultraviolence,Lana Del Rey,2,baroque pop;chamber pop;vintage vocal pop
2014-06-19T02:35:11Z,HELP,ZelooperZ,6,trap rap;hardcore hip hop;scream raps;maximum death swag;bruiser
2014-06-20T16:11:15Z,Reality Testing,Lone,3,instrumental hip hop;glitch hop;wonky;house;idm
2014-06-23T13:37:29Z,Self-Titled,Caustic Window,6,idm;acid techno;acid house;ambient techno
2014-06-23T17:11:57Z,Why Do The Heathen Rage?,The Soft Pink Truth,7,insane black metal covers
2014-06-24T16:45:45Z,Dark Comedy,Open Mike Eagle,8,art raps
2014-06-25T17:30:59Z,These Days...,Ab-Soul,5,conscious hip hop;pop rap;trap rap;west coast hip hop
2014-06-26T17:22:46Z,Once More 'Round the Sun,Mastodon,7,
2014-06-29T23:10:28Z,Connecticut Casual,Apathy,8,boom bap;east coast hip hop;hardcore hip hop
2014-07-03T03:52:28Z,Crashing Diseases and Incurable Airplanes,USA Out of Vietnam,7,post-rock;experimental rock;sludge metal;drone
2014-07-04T15:26:52Z,Sea When Absent,A Sunny Day In Glasgow,7,shoegaze;noise pop;twee pop
2014-07-07T17:59:21Z,Biggie Apple,Pearls Negras,8,hip hop;pop rap;funk carioca
2014-07-08T01:35:35Z,Want,Wreck and Reference,6,experimental rock;noise;drone;some kind of weird and dark metal music that isn't really metal but is also amazingly dark
2014-07-14T12:41:03Z,The Beast of Left and Right,Lazer/Wulf,7,thrash metal;math rock;progressive metal
2014-07-15T14:16:13Z,Celestite,Wolves In the Throne Room,8,progressive electronic;progressive synth;ambient;drone;drone doom;drone metal
2014-07-16T18:39:40Z,1000 Forms of Fear,Sia,7,electropop;contemporary r&b
2014-07-17T15:22:30Z,While (1 Is Less Than 2),Deadmau5,7,progressive house;fidget house;tech house;electro house;house;edm
2014-07-18T18:13:02Z,Roads To The North,Panopticon,8,black metal;blue grass;folk;folk metal
2014-07-21T14:27:45Z,Trouble In Paradise,La Roux,8,synth pop;new wave;electropop
2014-07-22T16:22:40Z,No More,Shlohmo & Jeremih,5,contemporary r&b
2014-07-24T00:33:29Z,Mandatory Fun,"""Weird Al"" Yankovic",7,musical parody;comedy rock;comedy rap;big laughs and tons of fun
2014-07-24T17:34:14Z,World Peace is None of Your Business,Morrissey,5,alternative rock;pop rock
2014-07-25T18:44:39Z,Lese Majesty,Shabazz Palaces,5,experimental hip hop;abstract hip hop;psychedelic hip hop
2014-07-28T13:32:20Z,The Flesh Prevails,Fallujah,4,technical death metal;progressive metal
2014-07-29T14:46:27Z,"""What Is This Heart?""",How To Dress Well,6,contemporary r&b;ambient pop;dream pop
2014-07-30T03:51:04Z,Never Hungover Again,Joyce Manor,6,pop punk;emo;punk rock
2014-07-31T15:07:12Z,Mouth Sounds / Mouth Silence,Neil Cicierega,8,mashup;plunderphonics;sampling insanity
2014-08-01T16:47:02Z,Nobody's Smiling,Common,6,conscious hip hop;pop rap
2014-08-05T23:59:41Z,Pikapika Fantajin,Kyary Pamyu Pamyu,7,j-pop;dance pop;electropop
2014-08-07T17:46:31Z,They Want My Soul,Spoon,7,indie rock;pop rock;alternative rock
2014-08-08T20:50:05Z,Two,PartyNextDoor,2,
2014-08-11T20:49:07Z,Worlds,Porter Robinson,5,edm;glistening indie pop;dream pop;chillwave
2014-08-12T18:38:32Z,The Thought of You,Otis Brown III,7,good jazzy times
